method,value,type
SEDR,1.566476267470773,ILISI
SEDR,1.8215057916005732,ILISI
SEDR,1.4845080778000153,ILISI
SEDR,1.4418867776173514,ILISI
SEDR,1.549977855475934,ILISI
SEDR,1.9496933391488562,ILISI
SEDR,1.7213076240055594,ILISI
SEDR,1.537883500330157,ILISI
SEDR,1.2053423087141593,ILISI
SEDR,1.8690576784298945,ILISI
SEDR,1.3395048322611867,ILISI
SEDR,1.976433512254585,ILISI
SEDR,1.699899652851027,ILISI
SEDR,1.5906153150448086,ILISI
SEDR,1.4181019804691022,ILISI
SEDR,1.9389038811907464,ILISI
SEDR,1.9571447899513812,ILISI
SEDR,1.7720802802740556,ILISI
SEDR,1.9183209197220166,ILISI
SEDR,1.9331827190237731,ILISI
SEDR,1.904351037711935,ILISI
SEDR,1.559766501257134,ILISI
SEDR,1.807156677994635,ILISI
SEDR,1.467025134656911,ILISI
SEDR,1.6034984191521129,ILISI
SEDR,1.2777241183214334,ILISI
SEDR,1.3932307930197065,ILISI
SEDR,1.3235745642650947,ILISI
SEDR,1.9850079161084513,ILISI
SEDR,1.9987323792372025,ILISI
SEDR,1.2656085490998457,ILISI
SEDR,1.985430794598125,ILISI
SEDR,1.8214624741597685,ILISI
SEDR,1.4406733123317919,ILISI
SEDR,1.540824315307041,ILISI
SEDR,1.7100890428096838,ILISI
SEDR,1.4931694751628892,ILISI
SEDR,1.6405922694505168,ILISI
SEDR,1.3107170048255294,ILISI
SEDR,1.054505596512036,ILISI
SEDR,1.744531550455515,ILISI
SEDR,1.3250805643345898,ILISI
SEDR,1.1515944327984695,ILISI
SEDR,1.3788089449765446,ILISI
SEDR,1.9403676298988408,ILISI
SEDR,1.3962965079030618,ILISI
SEDR,1.934571080302724,ILISI
SEDR,1.9802975734421189,ILISI
SEDR,1.9631175218406238,ILISI
SEDR,1.7814018382361487,ILISI
SEDR,1.358095358375827,ILISI
SEDR,1.4815250321618136,ILISI
SEDR,1.2261439183654248,ILISI
SEDR,1.16774455511272,ILISI
SEDR,1.611304154880049,ILISI
SEDR,1.6775841789661055,ILISI
SEDR,1.487253185555306,ILISI
SEDR,1.322328106810585,ILISI
SEDR,1.3110289029027076,ILISI
SEDR,1.8437609196680398,ILISI
SEDR,1.7158110526924955,ILISI
SEDR,1.6244752733317809,ILISI
SEDR,1.2500700193398622,ILISI
SEDR,1.4293945719324364,ILISI
SEDR,1.849156860428804,ILISI
SEDR,1.9824710456549544,ILISI
SEDR,1.5569807558860382,ILISI
SEDR,1.9999199234724268,ILISI
SEDR,1.219372179112865,ILISI
SEDR,1.5941100348636355,ILISI
SEDR,1.9688769939375703,ILISI
SEDR,1.4313803670476954,ILISI
SEDR,1.8101642191276646,ILISI
SEDR,1.1490272231923797,ILISI
SEDR,1.9963238317816179,ILISI
